Signal Legend:

Key        Signal Name

0        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|start
1        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|done
2        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|f0_wren
3        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|d_rdy_inner
4        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|d_rdy_outer
5        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|mem_cursor[9..0]
6        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|read_matrix_cursor[9..0]
7        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|write_matrix_cursor[9..0]
8        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|_cursor1_[7..0]
9        = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|_cursor2_[7..0]
10       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|_cursor3_[7..0]
11       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|_cursor4_[7..0]
12       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|_cursor_[7..0]
13       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|cursor[9..0]
14       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|s1
15       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|s2
16       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|s3
17       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|s4
18       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|count[2..0]
19       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|filter_test:f0|flag
20       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|data_in[15..0]
21       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|state.STA_IDLE
22       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|state.STA_READ
23       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|state.STA_READ_DONE
24       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|state.STA_WRITE
25       = DE0_Nano_SOPC:DE0_Nano_SOPC_inst|CI_custom_master:new_component_0|state.STA_WRITE_DONE

Data Table:

Signals-> 0 1 2 3 4 5    6    7    8   9   10  11  12  13   14 15 16 17 18 19 20    21 22 23 24 25 

sample

-128      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-127      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-126      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-125      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-124      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-123      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-122      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-121      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-120      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-119      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-118      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-117      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-116      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-115      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-114      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-113      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-112      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-111      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-110      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-109      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-108      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-107      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-106      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-105      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-104      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-103      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-102      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-101      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-100      0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-99       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-98       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-97       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-96       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-95       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-94       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-93       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-92       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-91       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-90       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-89       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-88       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-87       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-86       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-85       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-84       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-83       0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
